2025-10-08T00:40:24.006-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
2025-10-08T00:40:24.007-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'projectingArgumentResolverBeanPostProcessor'
2025-10-08T00:40:24.008-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
2025-10-08T00:40:24.008-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration'
2025-10-08T00:40:24.023-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'transactionAttributeSource'
2025-10-08T00:40:24.026-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'transactionInterceptor'
2025-10-08T00:40:24.026-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'transactionInterceptor' via factory method to bean named 'transactionAttributeSource'
2025-10-08T00:40:24.029-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionAttributeSource'
2025-10-08T00:40:24.029-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionInterceptor'
2025-10-08T00:40:24.043-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.u.c.s.UiApplicationContextUtils      : Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@30b24ca7]
